"psi_true","sigma_Y","method","n_reps","bias","emp_se","avg_se","se_ratio","rmse","cover_95"
-1,0.5,"AIPW",10000,0.00622922558579657,0.0582772504619218,0.0573219200479957,0.983607146762177,0.0586063268684206,0.9453
-1,0.5,"OLS",10000,0.474903389117716,0.102003509371234,0.102994133012186,1.00971166234434,0.485733367649318,0.0042
-1,0.5,"RonR",10000,0.0179878156527308,0.0518535360203027,0.050914398481047,0.981888650006667,0.0548824364514338,0.9298
-1,0.5,"TMLE",10000,0.0104841740018475,0.0556782937013026,0.0561928236137237,1.00924112213606,0.0566540403391548,0.946
-1,1,"AIPW",10000,0.0239610066611428,0.116194761425418,0.114529583504145,0.985669079217982,0.118633900301165,0.9422
-1,1,"OLS",10000,0.474288294036937,0.132170972812042,0.132732258256514,1.00424666197525,0.492358411117291,0.0535
-1,1,"RonR",10000,0.0327337331947841,0.102820895321173,0.100637555727475,0.978765604142255,0.107900771961388,0.9301
-1,1,"TMLE",10000,0.027623200204188,0.111576950373084,0.112223252089549,1.00579243037477,0.114940036986651,0.9425
-1,2,"AIPW",10000,0.0761465363844429,0.229805750632699,0.227992529532289,0.992109766202902,0.242082004616004,0.9332
-1,2,"OLS",10000,0.473058103875378,0.213560439340882,0.213669473379903,1.00051055354333,0.519025500421235,0.4004
-1,2,"RonR",10000,0.0777018187145912,0.204071315917071,0.20009364974162,0.980508450403351,0.218354093393007,0.9244
-1,2,"TMLE",10000,0.082319846420957,0.221895921995112,0.223194168010098,1.00585069794575,0.236663122460621,0.9332
-0.5,0.5,"AIPW",10000,0.00622922676035343,0.058277251950088,0.0573219200976906,0.983607122497545,0.0586063284729257,0.9453
-0.5,0.5,"OLS",10000,0.474903389117716,0.102003509371234,0.102994133012186,1.00971166234434,0.485733367649318,0.0042
-0.5,0.5,"RonR",10000,0.0100292802848185,0.0517354728377942,0.0502395597836379,0.971085350686822,0.0526960905273495,0.9368
-0.5,0.5,"TMLE",10000,0.00824065248796224,0.055870222492414,0.0561625254224837,1.00523181968909,0.0564719219311958,0.9469
-0.5,1,"AIPW",10000,0.0239610099643885,0.116194764066001,0.114529583957343,0.985669060718502,0.118633903554369,0.9422
-0.5,1,"OLS",10000,0.474288294036937,0.132170972812042,0.132732258256514,1.00424666197525,0.492358411117291,0.0535
-0.5,1,"RonR",10000,0.0238652259259736,0.103091070398858,0.100175928420952,0.971722652925932,0.105812357631802,0.9344
-0.5,1,"TMLE",10000,0.0267091926393004,0.111797087429295,0.112200339792574,1.00360700240544,0.114937895709992,0.9429
-0.5,2,"AIPW",10000,0.0761465471331648,0.229805750807424,0.227992530522955,0.992109769759467,0.242082008162847,0.9332
